"Category","Path","LineNumber","Line"
"占位注释","Code\01_Task\Inc\task_dcc.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","19","/* ========================= DCC浠诲姟鏃跺簭鍙傛暟 ========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","21","#define TASK_DCC_PREPARE_MS (3000U) /* 棰勫鎬佺瓑寰呮椂闂达紙鍙屽嚮鍚庣瓑寰?绉掑啀杩涘叆ON锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","24","#define TASK_DCC_MODE_IDLE (0U)      /* 浜や簰闈欐妯″紡锛氱數鏈轰笉鍏佽鍔ㄤ綔 */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","27","#define TASK_DCC_MODE_TOTAL (3U)     /* 妯″紡鎬绘暟锛堢敤浜庢寜閿惊鐜垏鎹級 */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","29","/* ========================= DCC杩愯鐘舵€佸畾涔?========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","30","#define TASK_DCC_RUN_OFF (0U)      /* 鍏抽棴鎬侊細鐢垫満鍋滄満锛屽彲鍒囨ā寮?*/"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","32","#define TASK_DCC_RUN_ON (2U)       /* 杩愯鎬侊細鎸夊綋鍓峬ode鎵ц搴曠洏鎺у埗 */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","33","#define TASK_DCC_RUN_STOP (3U)     /* 鍋滄満鍛婅鎬侊細鐢变繚鎶ら€昏緫瑙﹀彂锛堢孩闂?铚傞福锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","35","/* KEY3鍗曞嚮锛氬垏鎹ode骞跺己鍒跺洖OFF */"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","37","/* KEY3鍙屽嚮锛氳繍琛岀姸鎬佸垏鎹㈣姹?*/"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","39","/* KEY2鍗曞嚮锛欴CC鍏ㄩ噸缃姹傦紙mode=0 + run_state=OFF锛?*/"
"占位注释","Code\01_Task\Inc\task_dcc.h","43","* @brief  接口说明：StartDccTask"
"占位注释","Code\01_Task\Inc\task_dcc.h","44","* @param argument 参数说明"
"占位注释","Code\01_Task\Inc\task_dcc.h","45","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","50","/* 鑾峰彇褰撳墠閫夋嫨鐨勫簳鐩樻ā寮忥紙0/1/2锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","52","/* 鑾峰彇褰撳墠杩愯鐘舵€侊紙OFF/PREPARE/ON/STOP锛?*/"
